Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Chrysura Melo,Auto Rifle,High-Impact,Auto Rifle High-Impact,Solar,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,1.44,0.93,17.00,-0.10,1.575,1.475,10.800,0.107,18.61,27.45,33,73,25,30,30,58,86,32,10,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",6.8500,Auto Rifle 6.85001852782611,Auto Rifle High-Impact 6.85001852782611,Chrysura Melo,0.8,0.80,1.00,0.80,1.00,0.80,1.00,FALSE,FALSE,FALSE,Auto Rifle Solar Primary
Come to Pass,Auto Rifle,High-Impact,Auto Rifle High-Impact,Arc,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,1.44,0.93,17.00,-0.10,1.575,1.475,10.800,0.107,19.15,28.24,33,78,26,31,34,54,83,32,9,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",6.8494,Auto Rifle 6.84936442966585,Auto Rifle High-Impact 6.84936442966585,Come to Pass,0.8,0.80,1.03,0.80,1.00,0.80,1.05,TRUE,FALSE,FALSE,Auto Rifle Arc Primary
False Promises,Auto Rifle,High-Impact,Auto Rifle High-Impact,Kinetic,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,1.44,0.93,17.00,0.30,1.575,1.875,10.800,0.107,18.50,34.70,33,72,29,35,38,52,86,32,10,20,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",7.1772,Auto Rifle 7.17719903029449,Auto Rifle High-Impact 7.17719903029449,False Promises,0.8,0.80,1.00,0.80,1.00,0.80,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Herod-C,Auto Rifle,High-Impact,Auto Rifle High-Impact,Kinetic,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,1.44,0.93,17.00,0.20,1.575,1.775,10.800,0.107,19.25,34.17,33,79,33,30,38,61,76,33,22,19,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.5887,Auto Rifle 8.58873939607331,Auto Rifle High-Impact 8.58873939607331,Herod-C,0.8,0.80,1.00,0.80,1.00,0.80,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Monte Carlo,Auto Rifle,Monte Carlo,Auto Rifle Monte Carlo,Kinetic,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,15.00,0.00,1.575,1.575,10.800,0.107,16.15,25.44,21,50,65,80,79,50,80,43,29,15,See Exotic box below for more information,-,Auto Rifle -,Auto Rifle Monte Carlo -,Monte Carlo,,,,,,,,FALSE,FALSE,TRUE,Auto Rifle Kinetic Primary
Anonymous Autumn,Sidearm,Lightweight,Sidearm Lightweight,Solar,Primary,5284,1.00,360,44,31,1.41,0.67,5,60%,3,2,-,1.00,7,-,0.95,0.95,12.00,0.00,1.175,1.175,11.600,0.034,12.69,14.91,43,32,50,64,50,67,99,15,0,12,"""Superb handling. Move faster with this weapon equipped."" ",-,Sidearm -,Sidearm Lightweight -,Anonymous Autumn,,,,,,,,FALSE,TRUE,FALSE,
Antiope-D,Submachine Gun,Precision,Submachine Gun Precision,Kinetic,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.00,0.95,15.00,0.20,1.275,1.475,6.300,0.126,14.24,21.00,25,63,39,26,27,58,90,26,12,17,"""This weapon's recoil pattern is more predictably vertical."" ",-,Submachine Gun -,Submachine Gun Precision -,Antiope-D,,,,,,,,FALSE,TRUE,FALSE,
Ammit AR2,Auto Rifle,Precision,Auto Rifle Precision,Solar,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.10,1.575,1.675,10.800,0.107,17.33,29.02,29,61,45,46,38,44,71,32,20,17,"""This weapon's recoil pattern is more predictably vertical."" ",10.5258,Auto Rifle 10.5258113033038,Auto Rifle Precision 10.5258113033038,Ammit AR2,1.05,1.00,1.05,1.00,1.05,1.00,1.05,TRUE,FALSE,FALSE,Auto Rifle Solar Primary
Braytech Werewolf,Auto Rifle,Precision,Auto Rifle Precision,Kinetic,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.00,1.575,1.575,10.800,0.107,18.18,28.64,29,69,41,39,42,47,74,34,10,16,"""This weapon's recoil pattern is more predictably vertical."" ",8.9589,Auto Rifle 8.95891258190585,Auto Rifle Precision 8.95891258190585,Braytech Werewolf,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Firefright,Auto Rifle,Precision,Auto Rifle Precision,Kinetic,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.10,1.575,1.675,10.800,0.107,17.01,28.49,29,58,41,41,44,38,61,34,17,17,"""This weapon's recoil pattern is more predictably vertical."" ",9.7309,Auto Rifle 9.73088724294404,Auto Rifle Precision 9.73088724294404,Firefright,1.05,1.00,1.05,1.00,1.05,1.00,1.05,TRUE,FALSE,FALSE,Auto Rifle Kinetic Primary
Horror Story,Auto Rifle,Precision,Auto Rifle Precision,Kinetic,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.60,1.575,2.175,10.800,0.107,16.90,36.76,29,57,40,37,41,35,73,32,10,22,"""This weapon's recoil pattern is more predictably vertical."" ",8.4838,Auto Rifle 8.48381133422615,Auto Rifle Precision 8.48381133422615,Horror Story,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Seventh Seraph Carbine,Auto Rifle,Precision,Auto Rifle Precision,Kinetic,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.00,1.575,1.575,10.800,0.107,17.01,26.78,29,58,39,39,41,34,74,34,10,16,"""This weapon's recoil pattern is more predictably vertical."" ",7.5047,Auto Rifle 7.50473889636661,Auto Rifle Precision 7.50473889636661,Seventh Seraph Carbine,0.9,1.00,0.95,1.00,0.90,1.00,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Shadow Price,Auto Rifle,Precision,Auto Rifle Precision,Arc,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.00,1.575,1.575,10.800,0.107,17.54,27.63,29,63,45,43,47,43,79,33,21,16,"""This weapon's recoil pattern is more predictably vertical."" ",9.2224,Auto Rifle 9.22240874018972,Auto Rifle Precision 9.22240874018972,Shadow Price,0.9,1.00,0.95,1.00,0.90,1.00,1.00,FALSE,FALSE,FALSE,Auto Rifle Arc Primary
The Number,Auto Rifle,Precision,Auto Rifle Precision,Arc,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.40,1.575,1.975,10.800,0.107,16.15,31.90,29,50,40,36,36,44,70,33,10,20,"""This weapon's recoil pattern is more predictably vertical."" ",7.5300,Auto Rifle 7.52995871525139,Auto Rifle Precision 7.52995871525139,The Number,0.9,1.00,0.90,1.00,0.90,1.00,0.90,FALSE,FALSE,FALSE,Auto Rifle Arc Primary
Tigerspite,Auto Rifle,Precision,Auto Rifle Precision,Kinetic,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.32,0.87,16.00,0.00,1.575,1.575,10.800,0.107,17.43,27.46,29,62,41,40,40,44,68,33,10,16,"""This weapon's recoil pattern is more predictably vertical."" ",8.6752,Auto Rifle 8.6752440767238,Auto Rifle Precision 8.6752440767238,Tigerspite,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Quicksilver Storm,Auto Rifle,Quicksilver Storm,Auto Rifle Quicksilver Storm,Kinetic,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.28,0.84,16.00,0.00,1.575,1.575,10.800,0.107,15.08,23.75,18,40,85,48,54,83,88,51,26,16,See Exotic box below for more information,-,Auto Rifle -,Auto Rifle Quicksilver Storm -,Quicksilver Storm,,,,,,,,FALSE,FALSE,TRUE,Auto Rifle Kinetic Primary
Atalanta-D XG1992,Submachine Gun,Precision,Submachine Gun Precision,Kinetic,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.00,0.95,15.00,-0.10,1.275,1.175,6.300,0.126,12.85,15.10,25,52,45,31,27,54,82,27,0,14,"""This weapon's recoil pattern is more predictably vertical."" ",-,Submachine Gun -,Submachine Gun Precision -,Atalanta-D XG1992,,,,,,,,FALSE,TRUE,FALSE,
Arctic Haze,Auto Rifle,Rapid-Fire,Auto Rifle Rapid-Fire,Solar,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.28,0.84,16.00,0.00,1.575,1.575,10.800,0.107,13.37,21.05,18,24,48,42,48,75,42,51,10,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",8.5225,Auto Rifle 8.52246603652784,Auto Rifle Rapid-Fire 8.52246603652784,Arctic Haze,0.99,1.10,0.90,1.10,0.90,1.10,0.90,FALSE,FALSE,FALSE,Auto Rifle Solar Primary
Chroma Rush,Auto Rifle,Rapid-Fire,Auto Rifle Rapid-Fire,Kinetic,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.28,0.84,16.00,0.00,1.575,1.575,10.800,0.107,13.48,21.22,18,25,56,35,47,80,45,51,10,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.5994,Auto Rifle 9.59937521519026,Auto Rifle Rapid-Fire 9.59937521519026,Chroma Rush,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Krait,Auto Rifle,Rapid-Fire,Auto Rifle Rapid-Fire,Stasis,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.28,0.84,16.00,0.00,1.575,1.575,10.800,0.107,14.33,22.57,18,33,58,44,53,78,56,53,15,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",10.0783,Auto Rifle 10.0782550133352,Auto Rifle Rapid-Fire 10.0782550133352,Krait,0.99,1.10,0.95,1.10,0.90,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Stasis Primary
Bad News XF4354,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,0.95,0.95,14.00,0.00,1.375,1.375,16.000,0.115,22.90,31.49,92,60,29,33,32,66,88,8,0,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",-,Hand Cannon -,Hand Cannon Aggressive -,Bad News XF4354,,,,,,,,FALSE,TRUE,FALSE,
Reckless Oracle,Auto Rifle,Rapid-Fire,Auto Rifle Rapid-Fire,Void,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.28,0.84,16.00,0.00,1.575,1.575,10.800,0.107,13.58,21.39,18,26,56,42,55,75,59,51,10,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.0268,Auto Rifle 9.02677157722542,Auto Rifle Rapid-Fire 9.02677157722542,Reckless Oracle,0.99,1.10,0.95,1.10,0.90,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Void Primary
Bad Reputation,Submachine Gun,Precision,Submachine Gun Precision,Solar,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.00,0.95,15.00,-0.10,1.275,1.175,6.300,0.126,13.61,15.99,25,58,42,28,24,51,99,27,0,14,"""This weapon's recoil pattern is more predictably vertical."" ",-,Submachine Gun -,Submachine Gun Precision -,Bad Reputation,,,,,,,,FALSE,TRUE,FALSE,
Badlander,Shotgun,Rapid-Fire,Shotgun Rapid-Fire,Arc,Special,10927,1.00,139,-,17,-,-,12,0%,-,12,-,0.43,2,-,0.90,1.00,12.00,0.00,-,-,-,-,-,-,65,34,44,51,66,66,70,7,0,12,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty. "" ",-,Shotgun -,Shotgun Rapid-Fire -,Badlander,,,,,,,,FALSE,TRUE,FALSE,
Baligant XU7743,Shotgun,Aggressive,Shotgun Aggressive,Kinetic,Special,9736,1.00,55,-,22,-,-,9,0%,-,9,-,1.10,2,-,1.00,1.00,12.00,0.00,-,-,-,-,-,-,80,28,29,30,37,28,72,5,0,12,"""Hard-hitting, high recoil. Increases rate of fire after kill."" ",-,Shotgun -,Shotgun Aggressive -,Baligant XU7743,,,,,,,,FALSE,TRUE,FALSE,
Bane of Sorrow,Machine Gun,High-Impact,Machine Gun High-Impact,Void,Heavy,7125,1.00,360,48,34,1.42,0.67,5,40%,2,3,-,0.83,6,-,1.00,1.00,16.00,0.00,1.575,1.575,10.050,0.107,17.65,27.79,70,71,29,45,43,30,69,38,0,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Machine Gun -,Machine Gun High-Impact -,Bane of Sorrow,,,,,,,,FALSE,TRUE,FALSE,
Sweet Sorrow,Auto Rifle,Rapid-Fire,Auto Rifle Rapid-Fire,Arc,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.28,0.84,16.00,0.10,1.575,1.675,10.800,0.107,13.26,22.21,18,23,54,42,47,81,57,52,12,17,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",10.6593,Auto Rifle 10.6592968096689,Auto Rifle Rapid-Fire 10.6592968096689,Sweet Sorrow,1.155,1.10,1.05,1.10,1.05,1.10,1.05,TRUE,FALSE,FALSE,Auto Rifle Arc Primary
Bellowing Giant,Rocket Launcher,Adaptive,Rocket Launcher Adaptive,Void,Heavy,15805,-,20,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,1.00,-,-,-,-,-,-,-,-,75,63,54,49,50,63,70,1,0,20,"""A well-rounded grip, reliable and sturdy."" ",-,Rocket Launcher -,Rocket Launcher Adaptive -,Bellowing Giant,,,,,,,,FALSE,TRUE,FALSE,
SUROS Regime,Auto Rifle,SUROS Regime,Auto Rifle SUROS Regime,Kinetic,Primary,4391,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,16.00,0.00,1.575,1.575,10.800,0.107,16.69,26.28,33,55,58,64,73,68,50,36,31,16,See Exotic box below for more information,-,Auto Rifle -,Auto Rifle SUROS Regime -,SUROS Regime,,,,,,,,FALSE,FALSE,TRUE,Auto Rifle Kinetic Primary
Sweet Business,Auto Rifle,Sweet Business,Auto Rifle Sweet Business,Kinetic,Primary,5430,1.00,450,21,15,1.41,1.20,10,70%,7,3,-,1.57,13,-,1.32,0.87,16.00,0.00,1.575,1.575,10.800,0.107,14.55,22.91,18,35,55,5,0,80,100,150,32,16,See Exotic box below for more information,-,Auto Rifle -,Auto Rifle Sweet Business -,Sweet Business,,,,,,,,FALSE,FALSE,TRUE,Auto Rifle Kinetic Primary
Tommy's Matchbook,Auto Rifle,Tommy's Matchbook,Auto Rifle Tommy's Matchbook,Solar,Primary,3906,1.00,720,20,13,1.50,0.77,10,90%,9,1,-,1.17,15,-,1.28,0.84,16.00,0.00,1.575,1.575,10.800,0.107,16.47,25.94,18,53,54,58,0,81,64,72,26,16,See Exotic box below for more information,-,Auto Rifle -,Auto Rifle Tommy's Matchbook -,Tommy's Matchbook,,,,,,,,FALSE,FALSE,TRUE,Auto Rifle Solar Primary
Better Devils,Hand Cannon,Adaptive,Hand Cannon Adaptive,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.15,1.15,14.00,0.00,1.375,1.375,16.000,0.096,20.42,28.07,84,46,48,46,46,75,88,10,0,14,"""A well-rounded grip, reliable and sturdy."" ",-,Hand Cannon -,Hand Cannon Adaptive -,Better Devils,,,,,,,,FALSE,TRUE,FALSE,
Le Monarque,Combat Bow,Le Monarque,Combat Bow Le Monarque,Void,Primary,3969,1.00,667,170,120,1.42,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,76,78,51,69,50,70,78,1,18,18,See Exotic box below for more information,-,Combat Bow -,Combat Bow Le Monarque -,Le Monarque,,,,,,,,FALSE,FALSE,TRUE,Combat Bow Void Primary
Leviathan's Breath,Combat Bow,Leviathan's Breath,Combat Bow Leviathan's Breath,Void,Heavy,18152,-,-,A lot,200,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,60,84,5,0,0,66,75,1,17,20,See Exotic box below for more information,-,Combat Bow -,Combat Bow Leviathan's Breath -,Leviathan's Breath,,,,,,,,FALSE,FALSE,TRUE,Combat Bow Void Heavy
Black Scorpion-4sr,Scout Rifle,Rapid-Fire,Scout Rifle Rapid-Fire,Arc,Primary,3352,1.00,257,46,28,1.67,0.93,5,60%,3,2,-,1.40,7,-,1.05,1.05,21.00,-0.10,1.975,1.875,29.200,0.169,33.93,63.62,45,28,54,34,35,56,60,18,0,20,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty."" ",-,Scout Rifle -,Scout Rifle Rapid-Fire -,Black Scorpion-4sr,,,,,,,,FALSE,TRUE,FALSE,
Arsenic Bite-4b,Combat Bow,Lightweight,Combat Bow Lightweight,Arc,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,32,58,60,60,81,51,1,10,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",6.4525,Combat Bow 6.45250594980741,Combat Bow Lightweight 6.45250594980741,Arsenic Bite-4b,0.8,0.80,1.00,0.80,1.00,0.95,1.00,FALSE,FALSE,FALSE,Combat Bow Arc Primary
